delta,smooth,R,Y,M,L0,Lprime
0.005,1000,34.700000000000,0.020,592,-5.104021285740e+07,3.259275674504e+08
0.005,2000,34.700000000000,0.020,592,-6.864334791475e+07,4.383339819945e+08
0.005,5000,34.700000000000,0.020,592,-8.199895179282e+07,5.236171066959e+08
0.01,1000,34.700000000000,0.020,592,-5.104021285740e+07,3.260936540545e+08
0.01,2000,34.700000000000,0.020,592,-6.864334791475e+07,4.385573468264e+08
0.01,5000,34.700000000000,0.020,592,-8.199895179282e+07,5.238839284124e+08
0.02,1000,34.700000000000,0.020,592,-5.104021285740e+07,3.267585083605e+08
0.02,2000,34.700000000000,0.020,592,-6.864334791475e+07,4.394514891929e+08
0.02,5000,34.700000000000,0.020,592,-8.199895179282e+07,5.249520312021e+08
